ID,Kategoria,Nazwa testu,Kroki skrót,Oczekiwany wynik,Wynik (PASS/FAIL/BLOCKED),Priorytet,Data,Tester,Defekt ID,Screen/Link,Uwagi
LOG-01,Logowanie,Logowanie ADMIN web,"Zaloguj 00001/Admin1234","Dashboard i aktywna sesja",,Wysoki,,,,,
LOG-02,Logowanie,Logowanie WORKER mobilka,"Zaloguj 00002/Demo1234","Main shell mobilki",,Wysoki,,,,,
SES-01,Sesja,Utrzymanie sesji mobilnej,"Restart aplikacji po logowaniu","Sesja odtworzona",,Wysoki,,,,,
DOC-01,Dokumenty,PZ create-start-complete,"Utwórz PZ i domknij proces","Status COMPLETED",,Wysoki,,,,,
DOC-02,Dokumenty,MM create-confirm,"Utwórz i zatwierdź MM","IN_PROGRESS + zadania MOVE",,Wysoki,,,,,
DOC-03,Dokumenty,RW blokada bez picking zone,"Utwórz RW i confirm bez stanu picking","Czytelna blokada biznesowa",,Wysoki,,,,,
STK-01,Stany,Rezerwacja części ilości,"Stan->Rezerwuj->podaj ilość","Część przechodzi do BLOCKED",,Wysoki,,,,,
TSK-01,Zadania,Filtr Picking+Move mobilka,"Wybierz filtr Picking+Move","Tylko PICKING i MOVE",,Średni,,,,,
LOC-01,Lokalizacje,Standaryzacja kodu lokalizacji,"Wprowadź kod w złym formacie","Walidacja/normalizacja",,Średni,,,,,
REC-01,RW,Podpowiedź odbiorcy,"Utwórz RW i wróć do formularza","Odbiorca w podpowiedziach",,Średni,,,,,
ROL-01,Uprawnienia,FOREMAN brak users,"Zaloguj FOREMAN i /users","Brak dostępu/redirect",,Wysoki,,,,,
ROL-02,Uprawnienia,WORKER brak audit-log,"Zaloguj WORKER i /audit-log","Brak dostępu/redirect",,Wysoki,,,,,
UI-01,UI,Przejście głównych zakładek web,"Odwiedź wszystkie główne zakładki","Brak crasha",,Wysoki,,,,,
SYNC-01,Synchronizacja,Auto-refresh web,"Zmiana w innej sesji + odczekanie","Widok aktualny bez ręcznego odświeżenia",,Średni,,,,,
SYNC-02,Synchronizacja,Auto-refresh mobilka,"Zmiana z web + odczekanie","Widok mobilki aktualny",,Średni,,,,,
